Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
86, 172, 173, -1 - 30, 49, -50, 27, 85.509812 - 0.581653
87, 174, 175, -1 - 13, 5, -15, 38, -59.959716 - 0.619183
88, 176, 177, -1 - 13, -56, -8, -9, 65.221107 - 0.154507
89, 178, 179, -1 - -31, -7, -4, -9, 22.702719 - 0.149760
90, 180, 181, -1 - 0, 26, 13, 7, 98.858608 - 0.873960
91, 182, 183, -1 - -3, 18, -57, -14, 44.322031 - 0.160943
92, 184, 185, -1 - 36, -14, 5, -18, -64.110233 - 0.616705
93, 186, 187, -1 - -41, -36, -18, 6, 28.037355 - 0.211650
94, 188, 189, -1 - -9, 22, -15, -54, 72.295297 - 0.359992
95, 190, 191, -1 - -36, 31, 39, -40, 75.695059 - 0.174011
96, 192, 193, -1 - 31, -12, -23, 6, 7.260353 - 0.745349
97, 194, 195, -1 - 4, -15, -27, 7, -38.712729 - 0.155973
98, 196, 197, -1 - 30, -33, -5, -27, 6.472976 - 0.713147
99, 198, 199, -1 - -28, 25, 34, -11, -44.877468 - 0.020580
100, 200, 201, -1 - -14, 40, 0, 0, 26.902066 - 0.434255
101, 202, 203, -1 - 4, 16, 9, -43, -16.574602 - 0.193843
102, 204, 205, -1 - -41, -18, 1, 4, 85.369427 - 0.399455
103, 206, 207, -1 - 27, -2, 20, -34, -98.693808 - 0.764512
104, 208, 209, -1 - 2, -21, 4, 0, 12.222663 - 0.552265
105, 210, 211, -1 - -26, 36, -22, -51, -16.739402 - 0.539495
106, 212, 213, -1 - 10, 58, 2, 22, 1.950133 - 0.485404
107, 214, 215, -1 - -24, -10, 0, 44, 13.327433 - 0.370235
108, 216, 217, -1 - -8, 13, 14, -5, 80.266732 - 0.386821
109, 218, 219, -1 - 4, -13, -49, 31, -35.172582 - 0.583338
110, 220, 221, -1 - -10, 19, -1, 2, 65.648366 - 0.332931
111, 222, 223, -1 - 1, -10, -30, 23, -40.531632 - 0.619932
112, 224, 225, -1 - -11, 1, -32, -30, -14.535966 - 0.145200
113, 226, 227, -1 - 38, -1, -11, 21, -15.732292 - 0.139185
114, 228, 229, -1 - 31, 29, -13, 3, 58.000427 - 0.683911
115, 230, 231, -1 - -32, 22, -1, 23, 69.286172 - 0.905103
116, 232, 233, -1 - 6, -5, -45, -33, -21.616260 - 0.506201
117, 234, 235, -1 - 11, -12, -33, -14, -44.053468 - 0.561911
118, 236, 237, -1 - 15, -49, -4, 0, 80.205695 - 0.677971
119, 238, 239, -1 - -32, 22, -1, 23, 69.286172 - 0.144663
120, 240, 241, -1 - 5, 13, 24, -38, 39.182714 - 0.831134
121, 242, 243, -1 - 2, -21, 0, -59, -74.694052 - 0.486329
122, 244, 245, -1 - -42, 35, -24, -2, 63.737907 - 0.467682
123, 246, 247, -1 - -49, 2, 31, 8, 83.764153 - 0.093054
124, 248, 249, -1 - 28, -24, 22, -16, 65.276040 - 0.885386
125, 250, 251, -1 - 30, 0, 0, 0, -24.564348 - 0.122940
126, 252, 253, -1 - 28, -29, -23, -41, -98.608356 - 0.193601
127, 254, 255, -1 - 12, -33, 22, -53, -68.596454 - 0.869569
128, 256, 257, -1 - -12, 48, 14, -24, 54.686117 - 0.538512
129, 258, 259, -1 - 51, 10, 20, -34, -60.374767 - 0.197786
130, 260, 261, -1 - -2, 31, -43, -26, 1.809748 - 0.741089
131, 262, 263, -1 - 1, -8, 0, 12, 6.967376 - 0.820895
132, 264, 265, -1 - 19, -14, 52, 3, 65.269936 - 0.471358
133, 266, 267, -1 - 1, 31, -3, 3, 31.858272 - 0.422224
134, 268, 269, -1 - 1, 0, -52, 19, -6.833094 - 0.501774
135, 270, 271, -1 - 30, 14, 25, -21, -63.560900 - 0.541787
136, 272, 273, -1 - -53, -3, -27, -2, 26.938688 - 0.724643
137, 274, 275, -1 - -29, 5, -16, -16, -65.959655 - 0.352862
138, 276, 277, -1 - -16, -3, -33, -20, -24.759667 - 0.116532
139, 278, 279, -1 - 32, 20, -30, 35, -29.770806 - 0.704577
140, 280, 281, -1 - 1, 2, -15, 11, -55.021821 - 0.993136
141, 282, 283, -1 - 17, 19, -39, 27, 11.575671 - 0.213640
142, 284, 285, -1 - 24, 52, -54, 23, 65.843684 - 0.365466
143, 286, 287, -1 - 18, 18, -30, 6, 9.897153 - 0.317280
144, 288, 289, -1 - -26, 18, 13, 55, -60.216071 - 0.294258
145, 290, 291, -1 - 29, 1, 30, 34, -8.359020 - 0.434698
146, 292, 293, -1 - -6, -55, 33, 43, 5.392621 - 0.747800
147, 294, 295, -1 - 27, 19, 21, -40, -30.259102 - 0.427565
148, 296, 297, -1 - 24, 52, -54, 23, 65.843684 - 0.679421
149, 298, 299, -1 - 53, -3, 48, -34, -40.055544 - 0.375234
150, 300, 301, -1 - 7, -3, -23, 45, -30.185858 - 0.788076
151, 302, 303, -1 - 44, -17, 8, -2, 50.511185 - 0.470007
152, 304, 305, -1 - -8, -21, -8, -31, -47.911008 - 0.597194
153, 306, 307, -1 - 10, 58, 2, 22, 1.950133 - 0.510909
154, 308, 309, -1 - -1, 10, 1, -41, -70.867031 - 0.308994
155, 310, 311, -1 - 3, -46, 15, -11, 33.109531 - 0.407233
156, 312, 313, -1 - 22, 2, -2, -11, 27.988525 - 0.414338
157, 314, 315, -1 - 17, -26, 37, 1, -7.168798 - 0.365794
158, 316, 317, -1 - -27, 11, 13, 0, 85.937071 - 0.405500
159, 318, 319, -1 - -23, -32, 53, 11, -15.103610 - 0.836641
160, 320, 321, -1 - -45, 35, -52, -6, -96.935942 - 0.807125
161, 322, 323, -1 - 30, 49, -50, 27, 85.509812 - 0.707096
162, 324, 325, -1 - 48, -10, 30, 17, 27.054659 - 0.166932
163, 326, 327, -1 - 22, 22, 25, -53, -24.961089 - 0.564020
164, 328, 329, -1 - 30, 0, -26, 49, -25.284585 - 0.613380
165, 330, 331, -1 - 24, 23, 44, 36, -26.480911 - 0.500371
166, 332, 333, -1 - -8, 34, -28, 27, 12.845241 - 0.183789
167, 334, 335, -1 - -44, -25, -2, -31, -98.480178 - 0.304241
168, 336, 337, -1 - 16, 2, 34, -11, -29.752495 - 0.653024
169, 338, 339, -1 - 0, 6, 29, 2, -90.618610 - 0.526048
170, 340, 341, -1 - -38, 45, -35, -41, 54.045228 - 0.624811
171, 342, 343, -1 - 6, -16, 53, 23, -9.933775 - 0.631596
172, 344, 345, -1 - -42, -23, 46, 12, -58.098086 - 0.384193
173, 346, 347, -1 - 23, 43, -26, 39, 63.615833 - 0.585938
174, 348, 349, -1 - 34, -40, 56, 5, -56.608783 - 0.617584
175, 350, 351, -1 - 15, -15, 55, 13, -95.049898 - 0.718085
176, 352, 353, -1 - -1, -35, 4, -2, 70.311594 - 0.390469
177, 354, 355, -1 - -29, 0, 9, 11, 35.544908 - 0.135795
178, 356, 357, -1 - -32, -49, 15, 34, -47.776727 - 0.101498
179, 358, 359, -1 - -28, 21, -11, -41, 98.052919 - 0.500511
180, 360, 361, -1 - -13, 26, -8, -33, -75.737785 - 0.954327
181, 362, 363, -1 - 12, 24, 27, 10, 10.782189 - 0.501357
182, 364, 365, -1 - -11, -6, -18, -13, -7.083346 - 0.216688
183, 366, 367, -1 - -45, 37, -39, 11, 25.443281 - 0.195092
184, 368, 369, -1 - 8, -20, -22, 13, 39.750359 - 0.300936
185, 370, 371, -1 - 13, 0, -7, 32, -42.332224 - 0.528933
186, 372, 373, -1 - 17, -19, -11, 0, 58.580279 - 0.173379
187, 374, 375, -1 - 6, 38, -10, -14, 50.675985 - 0.358917
188, 376, 377, -1 - 57, -11, -1, 30, -61.778619 - 0.375918
189, 378, 379, -1 - 12, -33, 22, -53, -68.596454 - 0.358828
190, 380, 381, -1 - -2, -27, 43, -34, -59.239479 - 0.123312
191, 382, 383, -1 - -34, -3, -36, -47, -86.938078 - 0.229493
