Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
232, 360, 361, -1 - -25, 34, 54, -23, 15.787225 - 0.057939
233, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
234, 362, 363, -1 - 23, -3, 44, -14, 74.083682 - 0.036041
235, 364, 365, -1 - -2, 14, -56, -3, 15.640736 - 0.899744
236, 366, 367, -1 - 0, -55, 46, -35, -85.839412 - 0.205593
237, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
238, 368, 369, -1 - 16, -42, -1, -10, -60.356456 - 0.344859
239, 370, 371, -1 - -58, -5, -9, -5, 14.590899 - 0.979869
240, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
241, 372, 373, -1 - -58, -5, -9, -5, 14.590899 - 0.650022
242, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
243, 374, 375, -1 - -58, -5, -9, -5, 14.590899 - 0.019438
244, 376, 377, -1 - -2, -12, 29, -42, -56.230354 - 0.585573
245, 378, 379, -1 - 33, -46, 9, -30, -92.175054 - 0.113274
246, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
247, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
248, 380, 381, -1 - -30, 10, 3, 18, -28.531755 - 0.985228
249, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
250, 382, 383, -1 - -1, -51, 43, -29, 16.751610 - 0.762841
251, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
252, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
253, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
254, 384, 385, -1 - 38, 26, 50, -20, -62.590411 - 0.347165
255, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
256, 386, 387, -1 - 21, -39, 22, -5, 56.346324 - 0.541181
257, 388, 389, -1 - 8, -21, 2, -42, -55.247658 - 0.094746
258, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
259, 390, 391, -1 - -2, 2, 21, -39, 47.770623 - 0.035072
260, 392, 393, -1 - 38, 26, 50, -20, -62.590411 - 0.008385
261, 394, 395, -1 - 36, 30, -26, 32, 42.197943 - 0.271390
262, 396, 397, -1 - 47, -31, -5, 3, 98.321482 - 0.205202
263, 398, 399, -1 - 50, -30, 12, -58, -25.333415 - 0.067176
264, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
265, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
266, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
267, 400, 401, -1 - -26, 19, 16, -43, 76.189459 - 0.322757
268, 402, 403, -1 - -7, -36, -21, -11, -21.048616 - 0.006603
269, 404, 405, -1 - 12, 15, 56, -10, -18.521683 - 1.000000
270, 406, 407, -1 - 4, 0, -7, 23, -30.027161 - 0.015023
271, 408, 409, -1 - -29, -10, -13, -33, -17.813654 - 0.918296
272, 410, 411, -1 - 5, 13, 24, -38, 39.182714 - 0.994985
273, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
274, 412, 413, -1 - 18, -9, -13, 1, -72.283090 - 1.000000
275, 414, 415, -1 - -19, 14, 45, -37, 15.927610 - 0.053026
276, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
277, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
278, 416, 417, -1 - -44, -6, -24, 0, 33.817560 - 0.994030
279, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
280, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
281, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
282, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
283, 418, 419, -1 - 1, 13, 4, 0, 99.340800 - 0.391244
284, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
285, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
286, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
287, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
288, 420, 421, -1 - 13, -57, -57, -12, 24.137089 - 0.004901
289, 422, 423, -1 - 27, 23, 47, -20, -82.073428 - 0.123681
290, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
291, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
292, 424, 425, -1 - -5, -4, -7, -26, 12.021241 - 0.082143
293, 426, 427, -1 - 12, 15, 56, -10, -18.521683 - 0.322757
294, 428, 429, -1 - 21, -25, -43, 29, 44.114505 - 0.367498
295, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
296, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
297, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
298, 430, 431, -1 - 18, 15, 10, -6, 28.922391 - 0.292235
299, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
300, 432, 433, -1 - 3, 47, 35, -30, -97.009186 - 0.091800
301, 434, 435, -1 - 16, 7, -1, 0, 90.533158 - 0.337290
302, 436, 437, -1 - 12, -30, 26, 2, 57.115390 - 0.052925
303, 438, 439, -1 - 17, -1, 1, 1, 48.844874 - 0.332903
304, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
305, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
306, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
307, 440, 441, -1 - 12, 15, 56, -10, -18.521683 - 0.566510
308, 442, 443, -1 - -1, -51, 43, -29, 16.751610 - 0.927527
309, 444, 445, -1 - 31, -2, -17, -2, 25.778985 - 0.008661
310, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
311, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
312, 446, 447, -1 - 0, 0, 49, -24, -40.684225 - 0.902393
313, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
314, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
315, 448, 449, -1 - -33, 16, 28, -1, 23.789178 - 0.878674
316, 450, 451, -1 - -3, -3, -46, -30, 11.044649 - 0.640944
317, 452, 453, -1 - -9, -32, 20, -35, -25.260170 - 0.191433
318, 454, 455, -1 - 23, -27, -22, -42, 15.567492 - 0.040034
319, 456, 457, -1 - -32, -40, -10, -44, -74.132511 - 0.996792
320, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
321, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
322, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
323, 458, 459, -1 - 23, 34, -9, -10, 45.219275 - 0.006383
324, 460, 461, -1 - -18, 41, 2, 28, -42.667928 - 0.666578
325, 462, 463, -1 - 12, 15, 56, -10, -18.521683 - 0.894452
326, 464, 465, -1 - 9, 31, -45, 16, 81.670583 - 0.957815
327, 466, 467, -1 - -16, 49, 46, 10, 61.540574 - 0.147898
328, 468, 469, -1 - -16, 27, -9, -48, -36.429945 - 0.943035
329, 470, 471, -1 - 19, -48, 53, 10, 70.830409 - 0.242033
330, 472, 473, -1 - 44, -14, 0, 0, 11.484115 - 0.998599
331, 474, 475, -1 - 24, -21, 33, -41, -83.721427 - 0.804541
332, 476, 477, -1 - 27, -24, 29, 22, 50.083926 - 0.625386
333, 478, 479, -1 - -37, -9, -13, 0, 54.325999 - 0.007617
334, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
335, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
336, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
337, 480, 481, -1 - -42, 23, 18, 1, -27.811518 - 0.950956
338, 482, 483, -1 - -44, -6, -24, 0, 33.817560 - 1.000000
339, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
340, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
341, 484, 485, -1 - -20, -7, -9, 43, 34.183782 - 0.398459
342, 486, 487, -1 - 3, -27, 52, 2, -10.397656 - 0.072016
343, 488, 489, -1 - -29, -10, -13, -33, -17.813654 - 0.721928
344, 490, 491, -1 - 12, 3, -33, -20, -93.127232 - 0.052167
345, 492, 493, -1 - -25, 47, -33, -11, 71.489608 - 0.994030
346, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
