Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
534, 628, 629, -1 - 48, -18, -2, 6, 61.882382 - 0.594331
535, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
536, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
537, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
538, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
539, 630, 631, -1 - -22, 3, 51, 3, 15.598010 - 0.147838
540, 0, 0, 21 - 0, 0, 0, 0, 0.000000 - 0.000000
541, 632, 633, -1 - 0, -28, -50, -11, -8.206427 - 0.811278
542, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
543, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
544, 0, 0, 4 - 0, 0, 0, 0, 0.000000 - 0.000000
545, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
546, 634, 635, -1 - -40, -22, -42, -41, -54.667806 - 0.383238
547, 636, 637, -1 - 25, -44, 30, 42, 27.329325 - 0.468996
548, 638, 639, -1 - -11, -12, -35, -38, -2.066103 - 0.193643
549, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
550, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
551, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
552, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
553, 640, 641, -1 - -52, 9, 18, 4, -29.606006 - 0.301461
554, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
555, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
556, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
557, 642, 643, -1 - 0, 0, 49, -24, -40.684225 - 1.000000
558, 644, 645, -1 - -29, -10, -13, -33, -17.813654 - 0.918296
559, 646, 647, -1 - 17, -1, 1, 1, 48.844874 - 0.650022
560, 648, 649, -1 - -9, -28, 2, -14, 47.758415 - 0.066561
561, 650, 651, -1 - -29, -10, -13, -33, -17.813654 - 0.996792
562, 652, 653, -1 - 22, 2, -2, -11, 27.988525 - 0.002221
563, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
564, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
565, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
566, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
567, 0, 0, 20 - 0, 0, 0, 0, 0.000000 - 0.000000
568, 654, 655, -1 - 17, -1, 1, 1, 48.844874 - 1.000000
569, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
570, 656, 657, -1 - -32, 22, -1, 23, 69.286172 - 1.000000
571, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
572, 658, 659, -1 - 15, 49, -50, 7, 40.665914 - 0.001919
573, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
574, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
575, 660, 661, -1 - 17, -1, 1, 1, 48.844874 - 0.970951
576, 662, 663, -1 - -29, -10, -13, -33, -17.813654 - 0.266765
577, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
578, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
579, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
580, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
581, 664, 665, -1 - 0, 0, 49, -24, -40.684225 - 0.996792
582, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
